ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes;
lamb;16,7;4362;ingredient;LAMB MEAT WITH BONE*;;;
pine nut;1,11;11264;typology;NUTS;;;
orange rind;0,3;654;ingredient;ORANGE;;;
maple syrup;3,06;;ingredient;Maple syrup;https://livelca.com/products/maple-syrup_4db53f50-ad8d-4315-8c83-e17bf7b28de6;;
Dijon mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;
blue cheese;9,59;5060;ingredient;CHEESE BLUE-VEINED;;;
cashew;1,38;11264;ingredient;CASHEW NUT;;;
nuts;1,11;9063;ingredient;MIXED NUTS;;;
hazelnut;1,11;11264;ingredient;HAZELNUT;;;
whipped cream;5,45;3838;ingredient;CREAM;;;
lemon rind;0,34;642;ingredient;LEMON;;;
fennel;0,33;362;ingredient;FENNEL;;;
barley;0,48;1423;ingredient;BARLEY;;;
butternut squash;0,33;336;ingredient;SQUASH;;;
artichoke heart;0,33;818;ingredient;ARTICHOKE;;;
jalapeno pepper;0,84;8280;typology;SPICIES;;;
kiwi;0,49;514;ingredient;KIWI;;;
puree;1,03;713;ingredient;TOMATO PUREE;;;
fish;5,19;2313,5;typology;FISH;;;
radish;0,25;272;ingredient;RADISH;;;
Splenda;0,78;1294,5;typology;SUGAR;;;
Cool Whip;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
balsamic vinegar;5,37;;ingredient;BALSAMIC VINEGAR OF MODENA, BALSAMIC;https://apps.carboncloud.com/climatehub/product-reports/039153413016/USA;;
clove garlic;0,25;589;ingredient;GARLIC;;;
sprout;0,33;285;ingredient;BRUSSEL SPROUT;;;
curry;0,84;8280;typology;SPICIES;;;
currant;0,64;499;ingredient;CURRANT;;;
pastry;2,14;1640;ingredient;CAKES AND CROISSANT**;;;
hot sauce;0,84;8280;typology;SPICIES;;;
lemon peel;0,34;642;ingredient;LEMON;;;
swiss cheese;8,93;5253;ingredient;CHEESE;;;
chile;0,65;379;ingredient;PEPPER;;;
espresso;0,55;960;ingredient;ESPRESSO (L);;;
candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;;
poppy seed;0,88;2188;ingredient;POPPY SEED;;;
garlic salt;0,84;2265;ingredient;GARLIC POWDER;;;
rhubarb;0,25;272;ingredient;RADISH;;;
pumpkin puree;0,24;336;ingredient;PUMPKIN;;;
light brown sugar;0,78;1294,5;typology;SUGAR;;;
ground nutmeg;0,84;34319;ingredient;NUTMEG;;;
quinoa;0,97;1618;ingredient;QUINOA;;;
cold water;0,49;;ingredient;MINERAL WATER*;;;
preserve;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
black bean;0,43;5053;ingredient;BEAN;;;
tomatoes;0,45;41;ingredient;TOMATO;;;
couscous;0,57;2133;typology;PROCESSED GRAINS (grouts, malt);;;
lemongrass;0,34;642;ingredient;LEMON;;;
pecans;0,83;2782;ingredient;PEANUT;;;
basil leaf;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;
green bell pepper;0,65;379;ingredient;PEPPER;;;
bouillon cube;1,75;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;;
cider vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
fig;0,32;3350;ingredient;FIG;;;
cider;2,86;1140;ingredient;APPLE JUICE (I);;;
vanilla ice cream;4,3;1599;typology;ICE CREAM;;;
red pepper flake;0,84;8280;typology;SPICIES;;;
onion soup mix;0,22;290;ingredient;ONION;;;
melted butter;8,48;5659;ingredient;BUTTER*;;;
wheat germ;0,57;1639;ingredient;WHEAT;;;
cake flour;0,87;1849;ingredient;WHEAT FLOUR;;;
celery seed;0,33;362;ingredient;CELERY;;;
chicken thigh;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;
sunflower seed;0,88;3366;ingredient;SUNFLOWER SEED;;;
sea salt;0,44;;ingredient;Salt;https://livelca.com/products/salt_e6c545cd-6221-4665-a1da-a562fc37ef60;;
mace;0,84;34319;ingredient;MACE;;;
scallop;5,67;1856;typology;SHELLFISH;;;
marjoram;0,84;8280;typology;SPICIES;;;
blackberry;0,64;413;ingredient;BLACKBERRY;;;
jelly;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;
red wine;0,66;524;typology;WINE;;;
prosciutto;5,99;6177;typology;PORK CURED MEAT;;;
chocolate chips;4,3;;ingredient;CHOCOLATE;;;
walnuts;2,06;11264;ingredient;WALNUT;;;
soymilk;0,78;2030;ingredient;SOY MILK;;;
meat;17,96;10943;ingredient;BEEF MEAT WITH BONE*;;;
pimiento;0,65;379;ingredient;PEPPER;;;
apple cider;2,86;1140;ingredient;APPLE JUICE (I);;;
papaya;0,32;460;ingredient;PAPAYA;;;
garbanzo bean;0,52;555,5;typology;LEGUMES;;;
bran;0,48;1423;ingredient;BARLEY;;;
tortellini;3,02;;ingredient;P�tes fra�ches farcies (ex : raviolis), au fromage et aux l�gumes, crues;;;
skim milk;1,44;1599;typology;ANIMAL MILK;;;
plum;0,32;2180;ingredient;PLUM;;;
chili sauce;0,84;8280;typology;SPICIES;;;
water chestnut;1,11;2750;ingredient;CHESTNUT;;;
chocolate syrup;4,3;;ingredient;CHOCOLATE;;;
pickle;1,18;336;typology;VEGETABLES;;;
almonds;1,88;11264;ingredient;ALMOND;;;
fennel seed;0,84;8280;ingredient;FENNEL SEEDS;;;
goat cheese;9,59;5253;ingredient;GOAT CHEESE;;;
dry white wine;0,66;524;typology;WINE;;;
fresh lemon juice;0,34;642;ingredient;LEMON;;;
cranberry juice;2,86;1019;ingredient;CRANBERRY JUICE (I);;;
crouton;0,98;1258;typology;CRACKERS;;;
berry;0,61;413;ingredient;STRAWBERRY;;;
extra virgin olive oil;3,27;14415;ingredient;OLIVE OIL;;;
lemonade;0,34;642;ingredient;LEMON;;;
tilapia;5,19;2263;ingredient;TILAPIA;;;
pie crust;1,35;1423,3;typology;CRISPBREAD;;;
stick;;;TOO_GENERIC;TOO_GENERIC;;;
pumpkin pie spice;0,84;8280;typology;SPICIES;;;
watermelon;0,32;185;ingredient;WATERMELON;;;
pasta shell;1,21;1508;ingredient;PASTA*;;;
crushed pineapple;0,55;255;ingredient;PINEAPPLE (I);;;
mandarin orange;0,3;654;ingredient;ORANGE;;;
turnip;0,25;195;ingredient;TURNIP;;;
chilies;0,65;379;ingredient;PEPPER;;;
ginger ale;0,84;1657;ingredient;GINGER;;;
apple cider vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
beet;0,25;272;ingredient;BEETROOT;;;
chives;0,84;8280;typology;SPICIES;;;
kidney bean;0,43;5053;ingredient;BEAN;;;
lime zest;0,84;8280;typology;SPICIES;;;
ground clove;0,84;61205;ingredient;CLOVE;;;
orange peel;0,3;654;ingredient;ORANGE;;;
red pepper flakes;0,65;379;ingredient;PEPPER;;;
baguette;0,86;667;ingredient;BREAD;;;
monterey jack cheese;8,93;5253;ingredient;CHEESE;;;
pepper flakes;0,65;379;ingredient;PEPPER;;;
pepper flake;0,65;379;ingredient;PEPPER;;;
bread crumb;0,86;667;ingredient;BREAD;;;
celery rib;0,33;362;ingredient;CELERY;;;
diced tomato;1,47;713;ingredient;TOMATO CHOPPED;;;
frosting;1,14;;ingredient;WHITE FROSTING;https://apps.carboncloud.com/climatehub/product-reports/070980322966/USA;;
celery salt;0,33;362;ingredient;CELERY;;;
yam;0,27;343;ingredient;YAM;;;
prawn;7,04;1738;ingredient;PRAWNS GIANT;;;
stuffing;;;TOO_GENERIC;TOO_GENERIC;;Cannot distinguish between meat stuffing and vegetable stuffing, should be fixed;
graham cracker crumb;0,98;1258;typology;CRACKERS;;;
semi-sweet chocolate chip;4,3;;ingredient;CHOCOLATE;;;
pork tenderloin;7,95;6177;ingredient;PORK HAM;;;
seasoning salt;0,84;8280;typology;SPICIES;;;
Tabasco sauce;6,7;;ingredient;Tabasco Pepper Sauce;https://apps.carboncloud.com/climatehub/product-reports/011210135871/SWE;;
white wine vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
lemon extract;0,34;642;ingredient;LEMON;;;
maraschino cherry;1,14;;ingredient;MARASCHINO CHERRY;https://apps.carboncloud.com/climatehub/product-reports/073214005390/USA;;
cherry pie filling;0,46;1506,5;ingredient;CHERRY;;;
caramel;0,78;1294,5;typology;SUGAR;;;
italian seasoning;0,84;8280;typology;SPICIES;;;
orange juice concentrate;0,46;1019;ingredient;ORANGE JUICE;;;
vanilla bean;0,84;126505;ingredient;VANILLA BEAN;;;
mint leaf;0,84;288;ingredient;PEPPERMINT;;;
tea;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;
dark brown sugar;0,78;1294,5;typology;SUGAR;;;
olives;0,64;3015;ingredient;OLIVES;;;
brownie mix;3,16;20717;typology;CHOCOLATE;;;
mussel;0,46;1856;ingredient;MUSSELS;;;
creamer;5,45;3838;ingredient;CREAM;;;
sherry wine;0,66;524;ingredient;WINE WHITE;;;
Kahlua;7,83;;ingredient;Kahl�a;https://apps.carboncloud.com/climatehub/product-reports/7610594252148/SWE;;
wafer;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
dried basil;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;
cherry tomato;0,45;41;ingredient;TOMATO;;;
rolled oats;0,57;2536;ingredient;OAT GROATS;;;
okra;0,33;576;ingredient;OKRA;;;
mustard seed;0,88;2809;ingredient;MUSTARD SEED;;;
ground black pepper;0,84;8280;typology;SPICIES;;;
shell;;;ingredient;DEEP DISH PASTRY PIE SHELLS;https://apps.carboncloud.com/climatehub/product-reports/612781201004/USA;;
kielbasa;5,99;6177;ingredient;SAUSAGES;;;
salt and pepper;0,65;379;ingredient;PEPPER;;;
hot pepper sauce;0,84;8280;typology;SPICIES;;;
packed brown sugar;0,78;1294,5;typology;SUGAR;;;
sauerkraut;1,18;336;typology;VEGETABLES;;;
bean sprout;0,52;516;ingredient;BEAN (fresh);;;
arugula;1,18;336;typology;VEGETABLES;;;
vegetable stock;0,54;362;ingredient;VEGETABLES;;;
crescent roll;0,86;901,8;typology;BREAD;;;
Miracle Whip;1,46;572;ingredient;MAYONNAISE;;;
grapefruit;2,15;748;typology;FRUIT;;;
pita;0,86;901,8;typology;BREAD;;;
flax seed;0,88;3087,5;typology;SEEDS;;;
catsup;1,46;534;ingredient;KETCHUP;;;
anchovy;0,82;2313,5;ingredient;ANCHOVY;;;
cornflour;0,87;1889,5;ingredient;MAIZE FLOUR;;;
noodles;3,15;4637;ingredient;EGG PASTA*;;;
rice wine vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
chopped walnut;2,06;11264;ingredient;WALNUT;;;
