Top 10 recipes from the wfp_sustainability perspective
Recipe; WFP; URL
Tomato Beer ; 0.0002326717607223381 ; https://www.food.com/recipe/tomato-beer-247780
Black and Berry (Beer) ; 0.00029004283636330176 ; https://www.food.com/recipe/black-and-berry-beer-250338
Beer Punch ; 0.000318739100250682 ; https://www.food.com/recipe/beer-punch-427585
Short Cut Spinach  and Cheese Souffle Stuffed Tomatoes ; 0.00042008626140633263 ; https://www.food.com/recipe/short-cut-spinach-and-cheese-souffle-stuffed-tomatoes-126096
Pine Melon Crush ; 0.00044193939345652097 ; https://www.food.com/recipe/pine-melon-crush-67091
Pineapple Carrot Juice ; 0.00044697194395134233 ; https://www.food.com/recipe/pineapple-carrot-juice-329529
Stewed  Tomatoes and Zucchini ; 0.00048027777987418485 ; https://www.food.com/recipe/stewed-tomatoes-and-zucchini-256066
Jazz up the Cranberry Sauce ; 0.0005164633731372341 ; https://www.food.com/recipe/jazz-up-the-cranberry-sauce-194478
Fantabulous Roasted Bell Peppers ; 0.0005184678522571819 ; https://www.food.com/recipe/fantabulous-roasted-bell-peppers-300884
Basic Salad Mix (Salad Spinner) ; 0.0005485230752618913 ; https://www.food.com/recipe/basic-salad-mix-salad-spinner-247191
